,daily_min_temp,forecast
1982-01-02,15.0,15.611252280740654
1982-01-03,13.5,14.643247414447671
1982-01-04,15.2,13.932675968045515
1982-01-05,13.0,14.908945969443762
1982-01-06,12.5,13.633051499458565
1982-01-07,14.1,13.396071482299888
1982-01-08,14.8,14.225375442901063
1982-01-09,16.2,14.527023907196622
1982-01-10,15.8,15.293735379731254
1982-01-11,19.1,15.08648736370673
1982-01-12,22.2,17.006302754990624
1982-01-13,15.9,18.825796586257674
1982-01-14,13.0,15.411266603916856
1982-01-15,14.1,14.131636130739281
1982-01-16,15.8,14.807112231730327
1982-01-17,24.0,15.636912489465898
1982-01-18,18.0,20.19862572091248
1982-01-19,19.7,16.626391262059137
1982-01-20,25.2,18.09615583128336
1982-01-21,20.5,21.30858924580499
1982-01-22,19.3,18.730659446687817
1982-01-23,15.8,18.502242356493575
1982-01-24,17.0,16.641667360271125
1982-01-25,18.4,17.419820830321168
1982-01-26,13.3,18.10001728701244
1982-01-27,14.6,15.165492139921632
1982-01-28,12.5,15.960633362411354
1982-01-29,17.0,14.549759184064783
1982-01-30,17.1,16.975937800626184
1982-01-31,14.0,16.82253592527441
1982-02-01,14.6,15.112005059428295
1982-02-02,13.3,15.479202000441067
1982-02-03,14.8,14.63364315224927
1982-02-04,15.1,15.399414696575283
1982-02-05,13.1,15.438848500227397
1982-02-06,13.6,14.269367309946578
1982-02-07,19.5,14.520223436541345
1982-02-08,22.7,17.710745547081537
1982-02-09,17.2,19.42540302656313
1982-02-10,13.5,16.412844597691834
1982-02-11,15.4,14.691210573885048
1982-02-12,17.0,15.885568380477544
1982-02-13,19.2,16.61831677093866
1982-02-14,22.8,17.790023355421802
1982-02-15,26.3,19.838416203512814
1982-02-16,18.2,21.984232137056658
1982-02-17,17.0,17.3886751076037
1982-02-18,14.8,17.329128224242993
1982-02-19,12.8,16.095367906436426
1982-02-20,15.5,14.943058866747876
1982-02-21,15.6,16.452380630660695
1982-02-22,13.1,16.229681248220192
1982-02-23,15.2,14.709411817053699
1982-02-24,14.1,15.944589571455309
1982-02-25,12.5,15.09591261781607
1982-02-26,14.6,14.139330042314565
1982-02-27,10.4,15.3114314058005
1982-02-28,13.9,12.664915401265663
1982-03-01,11.9,14.73354926912675
1982-03-02,13.5,13.289943318448667
1982-03-03,9.8,14.1908942768595
1982-03-04,14.0,11.884695182311708
1982-03-05,21.5,14.302108566353883
1982-03-06,19.5,18.434388421555084
1982-03-07,16.7,17.113089296776298
1982-03-08,19.1,15.807796933621702
1982-03-09,11.0,17.448743598863363
1982-03-10,9.0,12.802994366597863
1982-03-11,10.0,11.930062568387108
1982-03-12,14.6,12.358159452668374
1982-03-13,12.5,14.788579768457508
1982-03-14,17.2,13.249925429837294
1982-03-15,19.2,16.035771823844662
1982-03-16,22.2,17.027197502477573
1982-03-17,15.7,18.88961265991868
1982-03-18,14.2,15.14807284302885
1982-03-19,9.8,14.71400577029644
1982-03-20,14.0,12.189515466023659
1982-03-21,17.5,14.727671889716229
1982-03-22,20.7,16.441710161279023
1982-03-23,15.6,18.169104527434655
1982-03-24,13.2,15.146069348105136
1982-03-25,14.5,14.145165871120229
1982-03-26,16.8,15.00744437883239
1982-03-27,17.2,16.210518815911012
1982-03-28,13.4,16.312764802520572
1982-03-29,14.2,14.127345268293702
1982-03-30,14.3,14.830861029573667
1982-03-31,10.2,14.77037696420653
1982-04-01,10.4,12.31821905823859
1982-04-02,12.3,12.564188674394627
1982-04-03,11.9,13.483208986295743
1982-04-04,11.2,12.995391341449196
1982-04-05,8.5,12.514934685175485
1982-04-06,12.0,10.841425969037774
1982-04-07,12.4,12.922984790974727
1982-04-08,12.9,12.816124326061468
1982-04-09,10.1,13.047682699326632
1982-04-10,15.0,11.33287506409219
1982-04-11,13.6,14.331993392467911
1982-04-12,12.4,13.214336232360672
1982-04-13,13.6,12.643160794453747
1982-04-14,16.1,13.416039286143832
1982-04-15,19.5,14.817768768385484
1982-04-16,14.2,16.77001304135964
1982-04-17,9.3,13.616432708782023
1982-04-18,10.1,11.159522227231477
1982-04-19,7.4,11.87651732237724
