,daily_min_temp,forecast
1982-01-02,15.0,16.483645862165076
1982-01-03,13.5,15.814453674925712
1982-01-04,15.2,14.778817969449287
1982-01-05,13.0,14.968066826669979
1982-01-06,12.5,14.085363938233066
1982-01-07,14.1,13.364372870275648
1982-01-08,14.8,13.698419775713486
1982-01-09,16.2,14.193292826575378
1982-01-10,15.8,15.096712356340449
1982-01-11,19.1,15.416319578810572
1982-01-12,22.2,17.112457745917617
1982-01-13,15.9,19.610447836120777
1982-01-14,13.0,17.818017992420348
1982-01-15,14.1,15.63591657364686
1982-01-16,15.8,14.914467023442572
1982-01-17,24.0,15.325451130377058
1982-01-18,18.0,19.190261216654896
1982-01-19,19.7,18.63256197345754
1982-01-20,25.2,19.107046132652588
1982-01-21,20.5,21.896884157001384
1982-01-22,19.3,21.237914161623543
1982-01-23,15.8,20.37628363074589
1982-01-24,17.0,18.355521693423213
1982-01-25,18.4,17.73387414776306
1982-01-26,13.3,18.035522100158154
1982-01-27,14.6,15.892997326565359
1982-01-28,12.5,15.283601490108454
1982-01-29,17.0,13.962656221279053
1982-01-30,17.1,15.377193118690098
1982-01-31,14.0,16.160792073650306
1982-02-01,14.6,15.181788356813248
1982-02-02,13.3,14.918370936304012
1982-02-03,14.8,14.182936991320233
1982-02-04,15.1,14.463662279335285
1982-02-05,13.1,14.75158886843504
1982-02-06,13.6,14.00515555075443
1982-02-07,19.5,13.821463833260037
1982-02-08,22.7,16.362164239280006
1982-02-09,17.2,19.43038684478818
1982-02-10,13.5,18.333553018368658
1982-02-11,15.4,16.16024646633656
1982-02-12,17.0,15.816432035251127
1982-02-13,19.2,16.346860968298284
1982-02-14,22.8,17.616132419246405
1982-02-15,26.3,20.00243303818537
1982-02-16,18.2,23.21788990930934
1982-02-17,17.0,20.73897811398306
1982-02-18,14.8,19.052370751542817
1982-02-19,12.8,17.059117903778947
1982-02-20,15.5,14.911076317623936
1982-02-21,15.6,15.209869190731425
1982-02-22,13.1,15.399803182220735
1982-02-23,15.2,14.283550190290722
1982-02-24,14.1,14.729116717998709
1982-02-25,12.5,14.425342001953142
1982-02-26,14.6,13.492301099508339
1982-02-27,10.4,14.028993625119382
1982-02-28,13.9,12.278202876384535
1982-03-01,11.9,13.062171876902042
1982-03-02,13.5,12.506728300422076
1982-03-03,9.8,12.981090019468551
1982-03-04,14.0,11.466462828986096
1982-03-05,21.5,12.667153267792976
1982-03-06,19.5,16.88045025697739
1982-03-07,16.7,18.269949875832395
1982-03-08,19.1,17.472732125749573
1982-03-09,11.0,18.27295448936674
1982-03-10,9.0,14.80283649270044
1982-03-11,10.0,11.811254388198275
1982-03-12,14.6,10.82714969453747
1982-03-13,12.5,12.753896075783391
1982-03-14,17.2,12.628001907136433
1982-03-15,19.2,14.894624681150773
1982-03-16,22.2,17.13931152144076
1982-03-17,15.7,19.94455114307727
1982-03-18,14.2,17.66592460995585
1982-03-19,9.8,15.890040421027107
1982-03-20,14.0,12.62099053380927
1982-03-21,17.5,13.375278768783023
1982-03-22,20.7,15.503558615275045
1982-03-23,15.6,18.26495955283307
1982-03-24,13.2,16.850017958489687
1982-03-25,14.5,14.990895148931351
1982-03-26,16.8,14.737688088969053
1982-03-27,17.2,15.786647235261498
1982-03-28,13.4,16.505163377751362
1982-03-29,14.2,14.940279574050397
1982-03-30,14.3,14.565760188768657
1982-03-31,10.2,14.431358563338573
1982-04-01,10.4,12.276043489217695
1982-04-02,12.3,11.28766775072189
1982-04-03,11.9,11.814718921597144
1982-04-04,11.2,11.858511229308979
1982-04-05,8.5,11.520459194699946
1982-04-06,12.0,9.962229404808108
1982-04-07,12.4,11.010713248729477
1982-04-08,12.9,11.719069818020536
1982-04-09,10.1,12.324294806656903
1982-04-10,15.0,11.19153702181023
1982-04-11,13.6,13.111441264871011
1982-04-12,12.4,13.360177347690462
1982-04-13,13.6,12.875386119555614
1982-04-14,16.1,13.23994818924455
1982-04-15,19.5,14.68487510863896
1982-04-16,14.2,17.199431242176203
1982-04-17,9.3,15.642964747694108
1982-04-18,10.1,12.467071790858641
1982-04-19,7.4,11.21183169536209
1982-04-20,8.6,9.145589215535539
1982-04-21,7.8,8.846612416263046
1982-04-22,9.1,8.280796228439613
1982-04-23,13.0,8.720900975776075
1982-04-24,16.5,11.003338607820277
1982-04-25,12.9,14.074459140731612
1982-04-26,6.9,13.410806331511449
1982-04-27,6.9,9.929668952398078
1982-04-28,8.7,8.236568282729067
1982-04-29,10.0,8.494546591199283
1982-04-30,10.8,9.313243025448118
1982-05-01,7.5,10.120539264171018
1982-05-02,6.3,8.705335631141626
1982-05-03,11.9,7.396725791768442
1982-05-04,13.8,9.802017200200764
1982-05-05,11.8,11.976811340252134
1982-05-06,11.0,11.879355505511192
1982-05-07,10.1,11.404603703078417
1982-05-08,8.5,10.703373318895046
1982-05-09,5.5,9.51237101559665
1982-05-10,7.6,7.293577349451817
1982-05-11,8.7,7.464967405297478
1982-05-12,10.8,8.141710802705841
1982-05-13,11.2,9.595625143772223
1982-05-14,9.1,10.48467989006118
1982-05-15,3.7,9.722093616868733
1982-05-16,4.6,6.423006848505212
1982-05-17,6.6,5.378820457425553
1982-05-18,13.2,6.063987596730698
1982-05-19,15.2,9.970927831651633
1982-05-20,7.6,13.110178999126479
1982-05-21,8.4,9.98041620608788
1982-05-22,6.0,9.123610393812775
1982-05-23,8.3,7.4035468835529485
1982-05-24,8.6,7.898823471800651
1982-05-25,11.1,8.280546619537837
1982-05-26,12.1,9.816226247696255
1982-05-27,12.9,11.084886452838504
1982-05-28,14.0,12.108026764288283
1982-05-29,12.5,13.18434350694445
1982-05-30,11.5,12.796576647323338
1982-05-31,7.0,12.068848507201771
1982-06-01,7.1,9.198770521589841
1982-06-02,9.0,7.9621374102815174
1982-06-03,3.1,8.56451278505624
1982-06-04,2.5,5.410970162165742
1982-06-05,0.0,3.6571552632885966
1982-06-06,1.6,1.4126856187046946
1982-06-07,2.6,1.5277018162184364
1982-06-08,5.7,2.17591778065594
1982-06-09,2.3,4.304534172176637
1982-06-10,4.5,3.096925057887458
1982-06-11,8.2,3.935726503489476
1982-06-12,6.9,6.503210232754251
1982-06-13,7.3,6.745168036947986
1982-06-14,6.0,7.081139729900375
1982-06-15,7.3,6.428706072286863
1982-06-16,7.6,6.953737273725155
1982-06-17,8.0,7.343416733841465
1982-06-18,8.0,7.739687480532995
1982-06-19,6.8,7.896862110047373
1982-06-20,7.3,7.23537579326749
1982-06-21,6.2,7.2743510312192114
1982-06-22,6.9,6.62637247175454
1982-06-23,8.9,6.791448049036575
1982-06-24,4.0,8.06200929696261
1982-06-25,1.3,5.634378358336583
1982-06-26,0.8,2.990527530203504
1982-06-27,4.3,1.6230370964657501
1982-06-28,7.3,3.263058030012775
1982-06-29,7.7,5.7274295147588115
1982-06-30,9.0,6.95495056954795
1982-07-01,4.2,8.234746765464603
1982-07-02,1.6,5.752082968630516
1982-07-03,2.6,3.1675217305287364
1982-07-04,3.4,2.8098849269627317
1982-07-05,3.9,3.1776891333471147
1982-07-06,7.0,3.626482931384528
1982-07-07,7.8,5.727756007273408
1982-07-08,5.3,7.037360003446505
1982-07-09,2.4,5.947678643927691
