,daily_min_temp,forecast
1982-01-02,15.0,16.093372378015296
1982-01-03,13.5,15.71626472267149
1982-01-04,15.2,15.328545788169256
1982-01-05,13.0,15.547644432654007
1982-01-06,12.5,14.468066009026183
1982-01-07,14.1,12.77381007916546
1982-01-08,14.8,13.38416009710956
1982-01-09,16.2,14.047223754418276
1982-01-10,15.8,15.654923448867477
1982-01-11,19.1,15.77386592234261
1982-01-12,22.2,16.49973694576826
1982-01-13,15.9,19.47373316356015
1982-01-14,13.0,17.369852404011677
1982-01-15,14.1,15.443297067478712
1982-01-16,15.8,15.465375727898875
1982-01-17,24.0,15.818186733807503
1982-01-18,18.0,19.555732539473798
1982-01-19,19.7,18.117158812856356
1982-01-20,25.2,18.829088033151756
1982-01-21,20.5,21.807532955634095
1982-01-22,19.3,21.756911684873838
1982-01-23,15.8,20.796374380222996
1982-01-24,17.0,17.864203256338023
1982-01-25,18.4,17.435266912978474
1982-01-26,13.3,17.43463020968013
1982-01-27,14.6,15.671235742528289
1982-01-28,12.5,15.85666009827163
1982-01-29,17.0,14.730589803569444
1982-01-30,17.1,15.66138346424139
1982-01-31,14.0,15.682782060305293
1982-02-01,14.6,15.102603311688497
1982-02-02,13.3,14.787180083232625
1982-02-03,14.8,14.645553011321907
1982-02-04,15.1,14.761098113325744
1982-02-05,13.1,14.280984978566144
1982-02-06,13.6,13.768748838203257
1982-02-07,19.5,13.122809732370424
1982-02-08,22.7,16.1373431087859
1982-02-09,17.2,19.975476096650567
1982-02-10,13.5,19.155144801812853
1982-02-11,15.4,16.474077787117057
1982-02-12,17.0,15.273913518522463
1982-02-13,19.2,16.248797788998356
1982-02-14,22.8,17.441113356895176
1982-02-15,26.3,20.475922765929646
1982-02-16,18.2,23.485831515895086
1982-02-17,17.0,20.202404535094402
1982-02-18,14.8,18.776141040349415
1982-02-19,12.8,16.52812135634148
1982-02-20,15.5,14.911485448530636
1982-02-21,15.6,15.624088521712304
1982-02-22,13.1,16.055917452891926
1982-02-23,15.2,14.56902043352861
1982-02-24,14.1,14.239310076726477
1982-02-25,12.5,14.426709073546172
1982-02-26,14.6,13.484199449091971
1982-02-27,10.4,14.671124885666853
1982-02-28,13.9,12.445063523106011
1982-03-01,11.9,12.462452457692754
1982-03-02,13.5,12.17298183652303
1982-03-03,9.8,12.38039741629375
1982-03-04,14.0,11.469667437715309
1982-03-05,21.5,13.078417955646321
1982-03-06,19.5,17.468435637940274
1982-03-07,16.7,18.52486661256768
1982-03-08,19.1,16.95750395853941
1982-03-09,11.0,18.19195104972117
1982-03-10,9.0,14.826346350234923
1982-03-11,10.0,12.388578365601141
1982-03-12,14.6,11.035760711541545
1982-03-13,12.5,12.130944871261995
1982-03-14,17.2,12.336309009685133
1982-03-15,19.2,14.224901677499137
1982-03-16,22.2,17.243277426917214
1982-03-17,15.7,20.61796814032692
1982-03-18,14.2,18.26772201417682
1982-03-19,9.8,16.099113726999768
1982-03-20,14.0,12.11141428659138
1982-03-21,17.5,13.120213458606253
1982-03-22,20.7,15.376549849309383
1982-03-23,15.6,18.74631802511399
1982-03-24,13.2,17.114756246905216
1982-03-25,14.5,14.350422449849123
1982-03-26,16.8,14.572614153519483
1982-03-27,17.2,15.253203049425762
1982-03-28,13.4,16.72559639098657
1982-03-29,14.2,15.462954191733017
1982-03-30,14.3,15.072089898018106
1982-03-31,10.2,14.488345333238849
1982-04-01,10.4,11.85352486749086
1982-04-02,12.3,11.152720635144302
1982-04-03,11.9,11.830839027950477
1982-04-04,11.2,12.250872152632851
1982-04-05,8.5,11.69993742396328
1982-04-06,12.0,9.340683627750945
1982-04-07,12.4,10.923028023275407
1982-04-08,12.9,11.257841458318657
1982-04-09,10.1,12.47895476489496
1982-04-10,15.0,11.697331110438917
1982-04-11,13.6,13.616794666061251
1982-04-12,12.4,13.31639537046388
1982-04-13,13.6,12.438461608651277
1982-04-14,16.1,13.138868037233928
1982-04-15,19.5,14.701831316558204
1982-04-16,14.2,17.56391487299255
1982-04-17,9.3,15.730150403397518
1982-04-18,10.1,11.899689199858939
1982-04-19,7.4,11.16012949459461
1982-04-20,8.6,8.750308904690112
1982-04-21,7.8,8.969575355335417
1982-04-22,9.1,8.900719569132963
1982-04-23,13.0,9.221458536055922
1982-04-24,16.5,10.906661396197899
1982-04-25,12.9,13.589156891041272
1982-04-26,6.9,13.377294179033465
1982-04-27,6.9,10.111309852138119
1982-04-28,8.7,8.56863843880355
1982-04-29,10.0,8.448727513240485
1982-04-30,10.8,8.729111403991613
1982-05-01,7.5,9.983329101388751
1982-05-02,6.3,8.307519536340184
1982-05-03,11.9,7.510460047079279
1982-05-04,13.8,10.39427341017256
1982-05-05,11.8,12.522893012817875
1982-05-06,11.0,11.91646009096618
1982-05-07,10.1,10.98031818289735
1982-05-08,8.5,10.539237642600073
1982-05-09,5.5,9.607085321817182
1982-05-10,7.6,7.643852561182594
1982-05-11,8.7,7.465936471418838
1982-05-12,10.8,7.613311674276432
1982-05-13,11.2,9.387346541636038
1982-05-14,9.1,10.003130541830801
1982-05-15,3.7,9.913128405831516
1982-05-16,4.6,7.189113967980429
1982-05-17,6.6,5.9872130035964926
1982-05-18,13.2,6.110277860680386
1982-05-19,15.2,9.45848984105573
1982-05-20,7.6,12.79600057298058
1982-05-21,8.4,9.962034531136881
1982-05-22,6.0,9.435674633906254
1982-05-23,8.3,7.459140476732968
1982-05-24,8.6,7.459558627421309
1982-05-25,11.1,8.139386117327968
1982-05-26,12.1,9.307194774525616
1982-05-27,12.9,11.098607036454341
1982-05-28,14.0,12.7107509105465
1982-05-29,12.5,13.717163718285747
1982-05-30,11.5,12.971746506503733
1982-05-31,7.0,11.756188442004618
1982-06-01,7.1,8.902737226166366
1982-06-02,9.0,7.955158361994069
1982-06-03,3.1,8.792681378037544
1982-06-04,2.5,5.500255400739123
1982-06-05,0.0,3.2892543225187327
1982-06-06,1.6,1.4451647673967236
1982-06-07,2.6,1.1729366570999198
1982-06-08,5.7,2.3108403775739386
1982-06-09,2.3,4.957484573008543
1982-06-10,4.5,3.650053883271779
1982-06-11,8.2,4.074526428693884
1982-06-12,6.9,6.0084524380680095
1982-06-13,7.3,6.353045128314793
1982-06-14,6.0,7.054814010278935
1982-06-15,7.3,6.537749707115466
1982-06-16,7.6,6.909113818499721
1982-06-17,8.0,6.833387876135769
1982-06-18,8.0,7.686188309334815
1982-06-19,6.8,7.525321868895237
1982-06-20,7.3,7.4415929943865065
1982-06-21,6.2,7.89414912117293
1982-06-22,6.9,7.191778821901215
1982-06-23,8.9,7.025425151967563
1982-06-24,4.0,7.623378646127647
1982-06-25,1.3,5.325309635257947
1982-06-26,0.8,3.0312087799719882
1982-06-27,4.3,1.809046490076785
1982-06-28,7.3,3.2443860402020617
1982-06-29,7.7,5.211461391570866
1982-06-30,9.0,6.895192637658925
1982-07-01,4.2,7.829132845503796
1982-07-02,1.6,5.978056860279677
1982-07-03,2.6,3.8100527735141094
1982-07-04,3.4,3.3729435872118847
1982-07-05,3.9,3.4475449440126975
1982-07-06,7.0,3.1273444768699754
1982-07-07,7.8,5.27629892389718
1982-07-08,5.3,6.9488468627820446
1982-07-09,2.4,6.132745166784752
1982-07-10,2.8,3.83371972943274
1982-07-11,4.0,2.7518301960383136
1982-07-12,7.5,3.7160239631128706
1982-07-13,7.8,5.596852826502694
1982-07-14,5.6,7.267644501167075
1982-07-15,3.3,6.740178220974266
1982-07-16,5.0,4.928150552123026
